P2_1_B,lemma
"169	- se necesita una atención digna, acceso a remedios, que haya atención uy horas medicas, que seamos atendidos y no haya discriminación",atención digno acceso remedio atención hora medico discriminación
170	se debe volver a que la autoridad sepa que decisiones tomar. que haya orden en carabineros y el gobierno del interior tome medidas de seguridad publica.,autoridad decisión
"171	""las listas de espera.",lista espera
mala atención profesionales.,malo atención profesional
tiempos de espera largos.,tiempo espera largo
"172	la mayorías de las personas no contamos con recursos económicos para costear carreras universitarias y profesionales para nuestros hijos, lo que conlleva a que simplemente no puedan acceder a educación de calidad",mayoría persona recurso económico carrera universitario profesional hijo educación calidad
173	se necesita educación de calidad y mejoramiento del sistema de admisión. al igual mejor formación pedagógica.,educación calidad mejoramiento sistema admisión
"174	""mejora de la administracion de los recursos economicos ya que estan pero no se fiscaliza como son usados.",mejora administración recurso económico
"falta de control en los trabajadores del sistema de slaud(auxiliares y cporresponsales)""",falta control trabajador sistema auxiliar cporresponsal
"175	""que saque lo mejor de c/u para hacer q' la nación crezca",mejor nación
entregue valores y principios sin tener que endeudarse y que sea de calidad sin fines de lucro.,valor principio calidad fin lucro
"igualitaria y de calidad para todos y todas """,igualitario calidad
"176	""1. falta de convivencia política.-",falta convivencia política
2. falta de empatía de la sociedad.,falta empatía sociedad
"3. falta de conciencia de las autoridades.""",falta conciencia
"177	""toda persona pensionada sin distinción debe partir desde el sueldo mínimo.",persona pensionado distinción deber sueldo mínimo
bajar la edad de las expectativas de vida al promedio real de vida de los chilenos.,edad expectativa vida promedio real vida chileno
"darles la oportunidad a las personas que comenzaron cotizando en el sistema antiguo inp poder volver para así sacar una pensión más digna.""",oportunidad persona sistema antiguo pensión digno
"178	""una salud accesible para todos, siempre se paga un extra por una prestación básica",salud accesible extra prestación básico
"salud en general cara""",salud general cara
"179	que haya acuerdo en los políticos que están a cargo de legislar y hacer las leyes que favorezcan a todos los chilenos. cuidar los intereses del país, y que el bien que  contribuye al bienestar de todos los chilenos, este por sobre los intereses personales de quienes les corresponde dirigir el país.",acuerdo político cargo ley chileno
"180	""modificar sistema para los abuelitos, hay que tener más opciones.",sistema abuelito opción
incertidumbre entre afp y aseguradoras. se considera un abuso.,incertidumbre aseguradora
"deberían ser opcional si quiero sacar mi plata.""",opcional plata
"181	""-atención no es buena, cercana o las indicaciones no son ajustadas.",atención buen cercano indicación
-horas medicas alta demora en atención,hora medico alto demora atención
"-no hay especialistas; subcontratación prof.-""",especialista subcontratación
"182	""- que sea igualitaria para todos las oportunidades",igualitario oportunidad
"- más especialistas y horas médicas mejor atención .""",especialista hora médico mejor atención
"183	""- porque podemos tener diferentes posiciones políticas, pero todos somos chilenos",diferente posición político chileno
"- conocer al otro y sus verdaderas necesidades  """,verdadero necesidad
"184	""necesitamos mas empatia y solidaridad entre nosotros mismos.",empatia solidaridad
los partidos politicos estan divididos donde hay que buscar un bien comun.,partido politico dividido
"185	con esos valores se llegaría a la igualdad, es necesario que cada cuidadano del país tenga más conciencia y los practique con mayor habitualidad.",valor igualdad necesario cuidadano país conciencia mayor habitualidad
"186	""-que en la comuna, en los hospitales existan más especialistas, y no tener que viajar fuera de ella para ser atendido.",comuna hospital especialista
"-que se mejoren los tiempos de espera para ser atendido por medico.""",tiempo espera médico
187	se requiere de que las personas tengan mejores oportunidades de acceso a educación de calidad así también,persona mejor oportunidad acceso educación calidad
"188	""diferencias entre colegios públicos y particulares",diferencia colegio público particular
falta de igualdad para todos en el acceso a una educación de calidad,falta igualdad acceso educación calidad
"no debiese existir la psu""",psu
"189	-mejor atención, vocación de los profesionales, especialistas, mejor protocolos de salud, abastecimientos de hospitales, cesfam, etc.",mejor atención vocación profesional especialista mejor protocolo salud abastecimiento hospital cesfam
190	subir pensiones para todas las personas y que no se  diferencie tanto entre un sueldo real a una jubilación,pensión persona sueldo real jubilación
"191	""mejorar la salud en general",salud general
"inyección de recursos economicos tanto para infraestructura hospitalaria, especialistas (fomentar la formación de estos). incorporar el abordaje de nuevas patologías auge, se necesita""",inyección recurso económico infraestructura hospitalario especialista formación
"192	""esperar en atención",atención
mayor dotación de especialistas y profesionales.,mayor dotación especialista profesional
"mejorar la gestión en salud (atención, administración)""",gestión salud atención administración
"193	""- insumos pacientes que no falten los medicamentos",insumo paciente medicamento
- agilizar las listas de espera,lista espera
- falta de criterios de parte de los medicos,falta criterio parte medico
- evaluar el profesionalismo de medico,profesionalismo médico
- implementar programas de salud con empresas privadas,programa salud empresa privado
"- mejorar los sist. de evaluacion para profesional""",sist evaluación profesional
194	cuidar todo lo que ya tenemos como país y poder fortalecer lo que este más bajo y no tener que partir de cero,país bajo partir cero
"195	""- falta de interés de crear políticas públicas.",falta interés política público
"- sin embargo , las familias no se preparan para ese momento, qué hacemos ?""",embargo familia momento
"196	""- mucha juventud no tiene trabajo",juventud trabajo
"- la mano de obra es cara y al campesino no le alcanza""",mano obra cara campesino
197	plan regulador que hay en puerto varas  no regula correctamente el crecimiento urbano. permitiendo la construcción de grandes edificios sin buen acceso y parcelando las zonas rurales,plan regulador crecimiento urbano
"198	""educación gratuita y de calidad.",educación gratuito calidad
que ricos y pobre estudien en la misma escuela.,rico pobre escuela
"equidad y integración.""",equidad integración
"199	se esperan que el gobierno resguarda de  mejor manera los empleos, mas viviendas la infraestructura publica.",gobierno mejor manera empleo vivienda infraestructura
200	se requiere que el gobierno garantice esta equidad. la equidad social es el pilar fundamental para hacer frente al resto de los requerimientos.,gobierno equidad
"201	""-que todas las personas tengan acceso a derechos básicos y fundamentales.",persona acceso derecho básico fundamental
-igualdad de oportunidades.,igualdad oportunidad
"-registro social de hogares.""",registro social hogar
"202	""- el sistema de atención es carente",sistema atención carente
- el tiempo de espera en los consultorios es mucho,tiempo espera consultorio
"- la atención debe ser mas prioritario, segregado en atención primaria y de urgencia""",atención prioritario segregado atención primario urgencia
203	lamentablemente las pensiones son indignas y quienes han trabajado de toda la vida no pueden disfrutar su 3° edad.,pensión indigno vida edad
"204	""-deberes y derechos/educarse",deber
-falta de diálogo con la autoridad política,falta diálogo autoridad política
"-medios de comunicación deben unirse y comunicar la realidad""",medio comunicación realidad
