	P2_1_B
234	"-medicamentos tienen muy alto valor
-no traen mucha información sobre los efectos colaterales
-mala atención profesional: no existe atención inclusiva, no hay empatía profesional.
-bajos recursos para salud
-las personas con situación de dependencia deben contar con un cuidad que no recibe remun"
235	se percibio  en el ambiente que estábamos sin autoridad y no se sabia que iba a pasar.
236	porque el costo de vida es superior al ingreso por pensión. porque es injusto que las familias se endeuden  
237	"cada familia debe poder elegir conde estudian sus hijos: eliminar el sae.
fortalecer educación pública
nuevas metodologías de aprendizaje. "
238	mejorar sistema público y fiscalizar los privados con los precios de tratamientos. lograr medicamentos a buen precio
239	acceso de buenas prestaciones médicas, accesibilidad para todas las personas, mejor infraestructura, mejores precios en medicamentos
240	"-precios de medicamentos
-falta de especialistas
-discriminación en listas de espera
-burocracia de papeleos, retraso atenciones"
241	salir tranquila, poder caminar sin temor en cual quier hora del día. no hay penas altas que castiguen los delitos hacia la mujer. 
242	"- presupuesto bajo que el gobierno entrega a salud.
- falta especialistas
- lista de espera - mejorar.
- remedios caros."
243	pagos diferenciados por los servicios a los que ellos pueden acceder y fortalecer el servicio hacia ellos.
244	descentralizar la educación tanto de pre grado de calidad para todos. como de post grado . 
245	creemos que es la base de la mayoría de las problemáticas planteadas con el movimiento, identificando y generando     los cambios, disminuiría la brecha.
246	es preciso volver hacia las personas, ser honestos entre todos. velar por lo nuestro con amor.
247	es lo que lleva a todas las otras necesidades, mal distribución de los recursos, no permiten el acceso a todos, gran brecha de la linea de la pobreza 
248	el sistema de salud publico y privado tienen grandes falencias. el primero, por falta de profesionales en el área de la salud, por falta de recintos hospitalarios y por una atención tardía. por su parte, el segundo es de costos muy elevados, que no permiten acceder a el.
249	mayor posibilidad para que las personas puedan estudiar al no tener los recursos. educación de calidad por los docentes.
250	 que existe calidad en la educación que no sea elitista (el q´ paga tiene mejor calidad). exista equidad en la educación 
251	"- por el monto bajo de las pensiones
- mala calidad de vida de la tercera edad"
252	"no contar con ingreso necesario para costear una enfermedad grave.
la atención, insumos y hora para exámenes en forma tardía.
servicio colapsado, ineficiente y denigrante. "
253	explican que al existir un estado subvencionado quedan expuestos a un deslineamiento general del estado sobre las personas y en el desequilibrio de la equidad en las ganancias 
254	"definitivamente lo prioritario es mejorar el sistema de salud.
-revisar valores de prestaciones medicas-medicamentos (colucion de las farmacias) 
-queremos farmacias populares"
255	"- las afp son una dificultad al ingreso que percibe en la vejez.
- debería dejar de ser un negocio."
256	muchas personas que mueren por no tener $ de asistir a una clínica privada, la salud pública es malísima, mucho tiempo de espera para ser atendido.
257	porque uno tiene que hacer filas para que nos atiendan y vivimos retirados de la ciudad 
258	la salud es un tema prioritario para cualquier país, por lo que debería tener un acceso universal de bajo costo y de calidad
259	Desde la vuelta de la democracia, nos hemos decepcionado cada vez más de las malas decisiones de nuestros gobernantes adicionalmente las medidas tomadas por ellos para el pueblo solo termino beneficiando as un sector minoría para lucrar con ellos.
260	"-atención de público mejorada
-más especialistas
-más cercanía con las personas
-regularizar los precios de medicamentos"
261	"-que se acaben listas de espera
-mas especialistas
-salud pública de calidad
-medicamentos de calidad y accesible para todos
-incluir medicina natural.
-trato mas humanitario y digno
-inclusión para personas con capacicades diferentes."
262	- falta de medicamentos , especialistas                                    - mucha espera para los adultos mayores                                            - falta de infraestructura y tecnología en los hospitales 
263	mejorarlo para que las personas que culminan su vida laboral puedan efectivamente no seguir trabajando y no tener que hacerlo para sobrevivir.
264	"-rebaja de pensiones de uniformados.
-posibilidad de trabajar para el estado .
-piso mayor para las pensiones, mínimo equivalente al sueldo mínimo.
-volver al sistema antiguo (cajas provisionales)
-equiparar pensiones de los uniformados con el resto de la ciudadanía."
265	este cambio deberia hacerse a través de asamblea constituyente. que no sean los partidos politicos que lleven representantes para liderar los cambios que la gente necesita.
266	"mayor fiscalización 
mayor contratación de dr.
especialistas
nivelar la atención con la clínica
menores horas de espera en urgencia
ingreso x concurso, cv, no con pituto"
267	"mejor salud 
mas personas que trabajen con compromiso
 mas dinero para los medicamentos 
mas medicos especialistas que la salud no sea un negocio
fin isapres"
268	"el agua debe ser de los chilenos, establecer redes de suministros comunitarios. 
educación y programas ambientales y reciclaje. "
269	"la salud no debe ser un negocio lucrativo.
Falta de profesionales y especialistas.
Calidad de atención (hospitales)."
270	"- mayor fiscalización
- mayores insumos y mejorar la calidad de atención
- invertir más recursos en salud"
271	"porque? deberiamos tener acceso a nuestros propios fondos, y en caso de ""salud"" enf. extrema, q' sea posible un retiro en su totalidad."
272	mejorar la educación, pero desde los primeros años. sacar a los profesores mal evaluados y que politicen la educación.
273	"- responsabilidad
- más médicos
- acortar las listas de espera
- los medicamentos deben ser gratis"
274	"no es integral, es competitiva e individualista
no es un derecho y el estado lo protege"
275	"- hacer frente de forma concreta a la delincuencia con penas reales y efectivas
- entregar y respetar horas de salud. regular los precios de los remedios. mejorar atención de salud en forma integral"
276	estabilidad laboral pública y privada, esto podría atacarse si los jubilados estén con una pensión la cual no cambie su nivel socioeconómico el cual se siente participe, ya que provoca que ellos vuelvan a trabajar y los puestos que deben ser para personal activo y joven son tomados por los jubilados
277	"sistema deficiente y segregador el pobre muere el rico vive
sistema costoso y de mala calidad
falta recursos para su funcionamiento"
278	"- salud digna
- sin listas de espera
- profesional empáticas
- extructura acorde a las necesidades"
279	"mejorar las remuneraciones al mejorar la educación podemos mejorar el pais 
eliminar la educación como un bien de consumo
incorporar la educación valórica "
280	poder contar con una salud gratuita y de calidad para todos, igualdad en la tención por parte de todo el personal de hospitales y consultorios. tener mayor acceso a medicamentos a un bajo costo, sin colusiones de las farmacias. aumentar los insumos en los centros médicos, consultorios y hospitales, 
281	"-no se quiere mas listas de espera.
-regulación del precio de los medicamentos.
-eficiencia en la espera de urgencias.
-igualdad de trato en la atención."
282	"- a fin de que disminuyan las listas de espera en los hospitales
- aumenten especialistas en los hospitales
- bajen los costos de atención médica y de medicamentos"
283	"las prestaciones estatales no están dando respuesta a las necesidades de las personas, en cuanto a  salud, educación, vivienda, transporte, justicia, seguridad, etc.
un ejemplo: cuando se está enfermo y hay que ir a la asistencia pública, la cuál no se presenta como una experiencia amena, ya sea po"
284	si hubiese más acceso a la educación estarían menos menos personas en situación de calle, robando, etc.
285	"esperas por las horas de especialistas son extensas.
mejores especialistas en todo el pais.
se hace necesario una buena atencion.
mejores insumos en medicamentos."
286	primer lugar no tenemos opcion a medico al no portar documentos, sin esto no tenemos atencion medica
287	"mejorar la calidad de vida para los adultos mayores.
aumento significativo en las pensiones de adultos mayores"
